contexto,lacuna,gabarito,classificacao,correcao
"Mas eles eram ferozes como seus ancestrais e os pais das crianças [LACUNA] os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",e,despejaram,conjunção aditiva,incorreta
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e [LACUNA] a descarga, com medo de que seus filhos se machucassem",quando,puxaram,conjunção temporal,incorreta
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se [LACUNA]",perdese,machucassem,verbo,classe_correta
"[LACUNA] um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se reproduziram durante anos",É,Foi,verbo,aceitavel
"Foi um erro fatal, centenas de jacarés [LACUNA] e moraram no esgoto da cidade, assim se reproduziram durante anos",Soltos,sobreviveram,adjetivo,incorreta
"Foi um erro fatal, centenas de jacarés sobreviveram e [LACUNA] no esgoto da cidade, assim se reproduziram durante anos",em,moraram,preposição,incorreta
"Foi um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se [LACUNA] durante anos",crescer,reproduziram,verbo,classe_correta
"Cada geração [LACUNA] de tamanho, no fim, ficaram muito maiores que crocodilos",mudar,aumentava,verbo,aceitavel
"Cada geração aumentava de tamanho, no fim, [LACUNA] muito maiores que crocodilos",eles,ficaram,pronome pessoal,incorreta
"Quando as autoridades [LACUNA], já era tarde",vim,souberam,verbo,classe_correta
"Quando as autoridades souberam, já [LACUNA] tarde",é,era,verbo,aceitavel
Milhões de jacarés gigantescos [LACUNA] as ruas num ataque surpresa e comeram a maior parte da população,caminhando,tomaram,verbo,classe_correta
Milhões de jacarés gigantescos tomaram as ruas num ataque surpresa e [LACUNA] a maior parte da população,vai,comeram,verbo,incorreta
Mais espantoso ainda [LACUNA] que os jacarés incorporaram a personalidade daqueles que devoravam,é,foi,verbo,aceitavel
Mais espantoso ainda foi que os jacarés [LACUNA] a personalidade daqueles que devoravam,mudar,incorporaram,verbo,classe_correta
Mais espantoso ainda foi que os jacarés incorporaram a personalidade daqueles que [LACUNA],é,devoravam,verbo,classe_correta
"De modo que a estrutura da cidade não [LACUNA] muito, só que eram jacarés que dominavam a cidade no lugar de seres humanos",era,mudou,verbo,classe_correta
"De modo que a estrutura da cidade não mudou muito, só que [LACUNA] jacarés que dominavam a cidade no lugar de seres humanos",os,eram,artigo definido,incorreta
"De modo que a estrutura da cidade não mudou muito, só que eram jacarés que [LACUNA] a cidade no lugar de seres humanos",tem,dominavam,verbo,classe_correta
Alguns humanos [LACUNA],que,sobreviveram,pronome relativo,incorreta
Os jacarés que [LACUNA] os cientistas especializados em genética começaram a fazer experiências com suas cobaias humanas,tem,devoraram,verbo ,classe_correta
Os jacarés que devoraram os cientistas especializados em genética [LACUNA] a fazer experiências com suas cobaias humanas,que,começaram,pronome relativo,incorreta
Os jacarés que devoraram os cientistas especializados em genética começaram a [LACUNA] experiências com suas cobaias humanas,muita,fazer,adjetivo,incorreta
"Eles [LACUNA] nos laboratórios homenzinhos com vinte centímetros de altura, e os venderam como brinquedos para os filhotes de jacarés",vivem,reproduziram,verbo,classe_correta
"Eles reproduziram nos laboratórios homenzinhos com vinte centímetros de altura, e os [LACUNA] como brinquedos para os filhotes de jacarés",fazem,venderam,verbo,classe_correta
Mas os minúsculos seres não [LACUNA] a ferocidade de seus ancestrais e começaram a agredir seus donos com lanças improvisadas,é,perderam,verbo,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,tem,começaram,verbo,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,é,agredir,verbo,classe_correta
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",tem,tiveram,verbo,aceitavel
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",-,machucassem,-,incorreta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",é,pegaram,verbo,incorreta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",que,despejaram,pronome relativo,incorreta
E [LACUNA] a descarga,que,puxaram,conjunção integrativa,incorreta
[LACUNA] um erro fatal para os jacarés,é,Foi,verbo,aceitavel
"Mas eles [LACUNA] ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",são,eram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças [LACUNA] os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",colocaram,despejaram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e [LACUNA] a descarga, com medo de que seus filhos se machucassem",deram,puxaram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se [LACUNA]",machucassem,machucassem,verbo,exata
"[LACUNA] um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se reproduziram durante anos",foi,Foi,verbo,exata
"Foi um erro fatal, centenas de jacarés [LACUNA] e moraram no esgoto da cidade, assim se reproduziram durante anos",andando,sobreviveram,verbo,aceitavel
"Foi um erro fatal, centenas de jacarés sobreviveram e [LACUNA] no esgoto da cidade, assim se reproduziram durante anos",vivendo,moraram,verbo,classe_correta
"Foi um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se [LACUNA] durante anos",permaneceu,reproduziram,verbo,classe_correta
"Cada geração [LACUNA] de tamanho, no fim, ficaram muito maiores que crocodilos",aumentava,aumentava,verbo,exata
"Cada geração aumentava de tamanho, no fim, [LACUNA] muito maiores que crocodilos",ficaram,ficaram,verbo,exata
"Quando as autoridades [LACUNA], já era tarde",chegaram,souberam,verbo,classe_correta
"Quando as autoridades souberam, já [LACUNA] tarde",era,era,verbo,exata
Milhões de jacarés gigantescos [LACUNA] as ruas num ataque surpresa e comeram a maior parte da população,dominaram,tomaram,verbo,aceitavel
Milhões de jacarés gigantescos tomaram as ruas num ataque surpresa e [LACUNA] a maior parte da população,assustou,comeram,verbo,classe_correta
Mais espantoso ainda [LACUNA] que os jacarés incorporaram a personalidade daqueles que devoravam,foi,foi,verbo,exata
Mais espantoso ainda foi que os jacarés [LACUNA] a personalidade daqueles que devoravam,tinham,incorporaram,verbo,classe_correta
Mais espantoso ainda foi que os jacarés incorporaram a personalidade daqueles que [LACUNA],comeram,devoravam,verbo,aceitavel
"De modo que a estrutura da cidade não [LACUNA] muito, só que eram jacarés que dominavam a cidade no lugar de seres humanos",suportou,mudou,verbo,classe_correta
"De modo que a estrutura da cidade não mudou muito, só que [LACUNA] jacarés que dominavam a cidade no lugar de seres humanos",os,eram,artigo definido,incorreta
"De modo que a estrutura da cidade não mudou muito, só que eram jacarés que [LACUNA] a cidade no lugar de seres humanos",dominavam,dominavam,verbo,exata
Alguns humanos [LACUNA],morreram,sobreviveram,verbo,classe_correta
Os jacarés que [LACUNA] os cientistas especializados em genética começaram a fazer experiências com suas cobaias humanas,eram,devoraram,verbo ,classe_correta
Os jacarés que devoraram os cientistas especializados em genética [LACUNA] a fazer experiências com suas cobaias humanas,fizeram,começaram,verbo ,classe_correta
Os jacarés que devoraram os cientistas especializados em genética começaram a [LACUNA] experiências com suas cobaias humanas,mesma,fazer,pronome demonstrativo,incorreta
"Eles [LACUNA] nos laboratórios homenzinhos com vinte centímetros de altura, e os venderam como brinquedos para os filhotes de jacarés",fizeram,reproduziram,verbo,aceitavel
"Eles reproduziram nos laboratórios homenzinhos com vinte centímetros de altura, e os [LACUNA] como brinquedos para os filhotes de jacarés",venderam,venderam,verbo,exata
Mas os minúsculos seres não [LACUNA] a ferocidade de seus ancestrais e começaram a agredir seus donos com lanças improvisadas,tinham,perderam,verbo,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,-,começaram,-,incorreta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,força,agredir,nome substantivo,incorreta
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",tinham,tiveram,verbo,aceitavel
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",machucassem,machucassem,verbo,exata
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",pegaram,pegaram,verbo,exata
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",jogaram,despejaram,verbo,aceitavel
E [LACUNA] a descarga,deram,puxaram,verbo,aceitavel
[LACUNA] um erro fatal para os jacarés,foi,Foi,verbo,exata
"Mas eles [LACUNA] ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",eram,eram,verbo,exata
"Mas eles eram ferozes como seus ancestrais e os pais das crianças [LACUNA] os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",jogam,despejaram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e [LACUNA] a descarga, com medo de que seus filhos se machucassem",da,puxaram,contração,incorreta
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se [LACUNA]",machucase,machucassem,verbo,aceitavel
"[LACUNA] um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se reproduziram durante anos",foi,Foi,verbo,exata
"Foi um erro fatal, centenas de jacarés [LACUNA] e moraram no esgoto da cidade, assim se reproduziram durante anos",libertado,sobreviveram,adjetivo,incorreta
"Foi um erro fatal, centenas de jacarés sobreviveram e [LACUNA] no esgoto da cidade, assim se reproduziram durante anos",foram,moraram,verbo,classe_correta
"Foi um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se [LACUNA] durante anos",mantendo,reproduziram,verbo,classe_correta
"Cada geração [LACUNA] de tamanho, no fim, ficaram muito maiores que crocodilos",de,aumentava,preposição,incorreta
"Cada geração aumentava de tamanho, no fim, [LACUNA] muito maiores que crocodilos",estão,ficaram,verbo,aceitavel
"Quando as autoridades [LACUNA], já era tarde",descobriu,souberam,verbo,aceitavel
"Quando as autoridades souberam, já [LACUNA] tarde",era,era,verbo,exata
Milhões de jacarés gigantescos [LACUNA] as ruas num ataque surpresa e comeram a maior parte da população,dominava,tomaram,verbo,aceitavel
Milhões de jacarés gigantescos tomaram as ruas num ataque surpresa e [LACUNA] a maior parte da população,eliminaram,comeram,verbo,aceitavel
Mais espantoso ainda [LACUNA] que os jacarés incorporaram a personalidade daqueles que devoravam,-,foi,-,incorreta
Mais espantoso ainda foi que os jacarés [LACUNA] a personalidade daqueles que devoravam,-,incorporaram,-,incorreta
Mais espantoso ainda foi que os jacarés incorporaram a personalidade daqueles que [LACUNA],-,devoravam,-,incorreta
"De modo que a estrutura da cidade não [LACUNA] muito, só que eram jacarés que dominavam a cidade no lugar de seres humanos",-,mudou,-,incorreta
"De modo que a estrutura da cidade não mudou muito, só que [LACUNA] jacarés que dominavam a cidade no lugar de seres humanos",-,eram,-,incorreta
"De modo que a estrutura da cidade não mudou muito, só que eram jacarés que [LACUNA] a cidade no lugar de seres humanos",-,dominavam,-,incorreta
Alguns humanos [LACUNA],sobreviveu,sobreviveram,verbo,aceitavel
Os jacarés que [LACUNA] os cientistas especializados em genética começaram a fazer experiências com suas cobaias humanas,-,devoraram,-,incorreta
Os jacarés que devoraram os cientistas especializados em genética [LACUNA] a fazer experiências com suas cobaias humanas,-,começaram,-,incorreta
Os jacarés que devoraram os cientistas especializados em genética começaram a [LACUNA] experiências com suas cobaias humanas,-,fazer,-,incorreta
"Eles [LACUNA] nos laboratórios homenzinhos com vinte centímetros de altura, e os venderam como brinquedos para os filhotes de jacarés",-,reproduziram,-,incorreta
"Eles reproduziram nos laboratórios homenzinhos com vinte centímetros de altura, e os [LACUNA] como brinquedos para os filhotes de jacarés",-,venderam,-,incorreta
Mas os minúsculos seres não [LACUNA] a ferocidade de seus ancestrais e começaram a agredir seus donos com lanças improvisadas,-,perderam,-,incorreta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,-,começaram,-,incorreta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,-,agredir,-,incorreta
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",-,tiveram,-,incorreta
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",-,machucassem,-,incorreta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",-,pegaram,-,incorreta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",-,despejaram,-,incorreta
E [LACUNA] a descarga,-,puxaram,-,incorreta
[LACUNA] um erro fatal para os jacarés,-,Foi,-,incorreta
"Mas eles [LACUNA] ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",são,eram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças [LACUNA] os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",deixaram,despejaram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e [LACUNA] a descarga, com medo de que seus filhos se machucassem",ligaram,puxaram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se [LACUNA]",machucassem,machucassem,verbo,exata
"[LACUNA] um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se reproduziram durante anos",com,Foi,preposição,incorreta
"Foi um erro fatal, centenas de jacarés [LACUNA] e moraram no esgoto da cidade, assim se reproduziram durante anos",fugiram,sobreviveram,verbo,aceitavel
"Foi um erro fatal, centenas de jacarés sobreviveram e [LACUNA] no esgoto da cidade, assim se reproduziram durante anos",ficavam,moraram,verbo,classe_correta
"Foi um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se [LACUNA] durante anos",repetil,reproduziram,verbo,classe_correta
"Cada geração [LACUNA] de tamanho, no fim, ficaram muito maiores que crocodilos",mudava,aumentava,verbo,aceitavel
"Cada geração aumentava de tamanho, no fim, [LACUNA] muito maiores que crocodilos",são,ficaram,verbo,aceitavel
"Quando as autoridades [LACUNA], já era tarde",Apareceu,souberam,verbo,classe_correta
"Quando as autoridades souberam, já [LACUNA] tarde",era,era,verbo,exata
Milhões de jacarés gigantescos [LACUNA] as ruas num ataque surpresa e comeram a maior parte da população,Andava,tomaram,verbo,classe_correta
Milhões de jacarés gigantescos tomaram as ruas num ataque surpresa e [LACUNA] a maior parte da população,com ,comeram,preposição,incorreta
Mais espantoso ainda [LACUNA] que os jacarés incorporaram a personalidade daqueles que devoravam,com,foi,preposição,incorreta
Mais espantoso ainda foi que os jacarés [LACUNA] a personalidade daqueles que devoravam,tinha,incorporaram,verbo,classe_correta
Mais espantoso ainda foi que os jacarés incorporaram a personalidade daqueles que [LACUNA],afetou,devoravam,verbo,classe_correta
"De modo que a estrutura da cidade não [LACUNA] muito, só que eram jacarés que dominavam a cidade no lugar de seres humanos",melhorou,mudou,verbo,aceitavel
"De modo que a estrutura da cidade não mudou muito, só que [LACUNA] jacarés que dominavam a cidade no lugar de seres humanos",os,eram,artigo definido,incorreta
"De modo que a estrutura da cidade não mudou muito, só que eram jacarés que [LACUNA] a cidade no lugar de seres humanos",Tomaram,dominavam,verbo,aceitavel
Alguns humanos [LACUNA],permaneceu,sobreviveram,verbo,classe_correta
Os jacarés que [LACUNA] os cientistas especializados em genética começaram a fazer experiências com suas cobaias humanas,ficaram,devoraram,verbo ,classe_correta
Os jacarés que devoraram os cientistas especializados em genética [LACUNA] a fazer experiências com suas cobaias humanas,fizeram,começaram,verbo ,classe_correta
Os jacarés que devoraram os cientistas especializados em genética começaram a [LACUNA] experiências com suas cobaias humanas,mais,fazer,advérbio,incorreta
"Eles [LACUNA] nos laboratórios homenzinhos com vinte centímetros de altura, e os venderam como brinquedos para os filhotes de jacarés",tinham,reproduziram,verbo,classe_correta
"Eles reproduziram nos laboratórios homenzinhos com vinte centímetros de altura, e os [LACUNA] como brinquedos para os filhotes de jacarés",humanos,venderam,nome substantivo,incorreta
Mas os minúsculos seres não [LACUNA] a ferocidade de seus ancestrais e começaram a agredir seus donos com lanças improvisadas,tinham,perderam,verbo,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,com,começaram,preposição,incorreta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,opção,agredir,nome substantivo,incorreta
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",tem,tiveram,verbo,aceitavel
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",evoluam,machucassem,verbo,classe_correta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",tinham,pegaram,verbo,classe_correta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",jacarés,despejaram,substantivo,incorreta
E [LACUNA] a descarga,liga,puxaram,verbo,aceitavel
[LACUNA] um erro fatal para os jacarés,foi,Foi,verbo,exata
"Mas eles [LACUNA] ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",são,eram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças [LACUNA] os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",jogaram,despejaram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e [LACUNA] a descarga, com medo de que seus filhos se machucassem",deram,puxaram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se [LACUNA]",machucarem,machucassem,verbo,aceitavel
"[LACUNA] um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se reproduziram durante anos",Foi,Foi,verbo,exata
"Foi um erro fatal, centenas de jacarés [LACUNA] e moraram no esgoto da cidade, assim se reproduziram durante anos",rondava,sobreviveram,verbo,aceitavel
"Foi um erro fatal, centenas de jacarés sobreviveram e [LACUNA] no esgoto da cidade, assim se reproduziram durante anos",aparecia,moraram,verbo,classe_correta
"Foi um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se [LACUNA] durante anos",foram,reproduziram,verbo,classe_correta
"Cada geração [LACUNA] de tamanho, no fim, ficaram muito maiores que crocodilos",foi,aumentava,verbo,classe_correta
"Cada geração aumentava de tamanho, no fim, [LACUNA] muito maiores que crocodilos",são,ficaram,verbo,aceitavel
"Quando as autoridades [LACUNA], já era tarde",chegaram,souberam,verbo,classe_correta
"Quando as autoridades souberam, já [LACUNA] tarde",era,era,verbo,exata
Milhões de jacarés gigantescos [LACUNA] as ruas num ataque surpresa e comeram a maior parte da população,pelas,tomaram,contração,incorreta
Milhões de jacarés gigantescos tomaram as ruas num ataque surpresa e [LACUNA] a maior parte da população,era,comeram,verbo,classe_correta
Mais espantoso ainda [LACUNA] que os jacarés incorporaram a personalidade daqueles que devoravam,é,foi,verbo,aceitavel
Mais espantoso ainda foi que os jacarés [LACUNA] a personalidade daqueles que devoravam,tem,incorporaram,verbo,classe_correta
Mais espantoso ainda foi que os jacarés incorporaram a personalidade daqueles que [LACUNA],vivem,devoravam,verbo,classe_correta
"De modo que a estrutura da cidade não [LACUNA] muito, só que eram jacarés que dominavam a cidade no lugar de seres humanos",tem,mudou,verbo,classe_correta
"De modo que a estrutura da cidade não mudou muito, só que [LACUNA] jacarés que dominavam a cidade no lugar de seres humanos",os,eram,artigo definido,incorreta
"De modo que a estrutura da cidade não mudou muito, só que eram jacarés que [LACUNA] a cidade no lugar de seres humanos",dominavam,dominavam,verbo,exata
Alguns humanos [LACUNA],preocupados,sobreviveram,adjetivo,incorreta
Os jacarés que [LACUNA] os cientistas especializados em genética começaram a fazer experiências com suas cobaias humanas,tem,devoraram,verbo ,classe_correta
Os jacarés que devoraram os cientistas especializados em genética [LACUNA] a fazer experiências com suas cobaias humanas,produziram,começaram,verbo ,classe_correta
Os jacarés que devoraram os cientistas especializados em genética começaram a [LACUNA] experiências com suas cobaias humanas,são,fazer,verbo,classe_correta
"Eles [LACUNA] nos laboratórios homenzinhos com vinte centímetros de altura, e os venderam como brinquedos para os filhotes de jacarés",estavam,reproduziram,verbo,classe_correta
"Eles reproduziram nos laboratórios homenzinhos com vinte centímetros de altura, e os [LACUNA] como brinquedos para os filhotes de jacarés",usavam,venderam,verbo,incorreta
Mas os minúsculos seres não [LACUNA] a ferocidade de seus ancestrais e começaram a agredir seus donos com lanças improvisadas,são,perderam,verbo,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,-,começaram,-,incorreta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,-,agredir,-,incorreta
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",tem,tiveram,verbo,aceitavel
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",machuquem,machucassem,verbo,aceitavel
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",eram,pegaram,verbo,classe_correta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",jogaram,despejaram,verbo,aceitavel
E [LACUNA] a descarga,deram,puxaram,verbo,aceitavel
[LACUNA] um erro fatal para os jacarés,foi,Foi,verbo,exata
"Mas eles [LACUNA] ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",são,eram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças [LACUNA] os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",bota,despejaram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e [LACUNA] a descarga, com medo de que seus filhos se machucassem",deu,puxaram,verbo,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se [LACUNA]",machucase,machucassem,verbo,aceitavel
"[LACUNA] um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se reproduziram durante anos",com,Foi,preposição,incorreta
"Foi um erro fatal, centenas de jacarés [LACUNA] e moraram no esgoto da cidade, assim se reproduziram durante anos",foram,sobreviveram,verbo,aceitavel
"Foi um erro fatal, centenas de jacarés sobreviveram e [LACUNA] no esgoto da cidade, assim se reproduziram durante anos",para,moraram,preposição,incorreta
"Foi um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se [LACUNA] durante anos",e,reproduziram,conjunção aditiva,incorreta
"Cada geração [LACUNA] de tamanho, no fim, ficaram muito maiores que crocodilos",mudou,aumentava,verbo,aceitavel
"Cada geração aumentava de tamanho, no fim, [LACUNA] muito maiores que crocodilos",jacarés,ficaram,nome substantivo,incorreta
"Quando as autoridades [LACUNA], já era tarde",foram,souberam,verbo,classe_correta
"Quando as autoridades souberam, já [LACUNA] tarde",ver,era,verbo,aceitavel
Milhões de jacarés gigantescos [LACUNA] as ruas num ataque surpresa e comeram a maior parte da população,pela,tomaram,contração,incorreta
Milhões de jacarés gigantescos tomaram as ruas num ataque surpresa e [LACUNA] a maior parte da população,o,comeram,artigo definido,incorreta
Mais espantoso ainda [LACUNA] que os jacarés incorporaram a personalidade daqueles que devoravam,o,foi,artigo definido,incorreta
Mais espantoso ainda foi que os jacarés [LACUNA] a personalidade daqueles que devoravam,não,incorporaram,advérbio de negação,incorreta
Mais espantoso ainda foi que os jacarés incorporaram a personalidade daqueles que [LACUNA],local,devoravam,nome substantivo,incorreta
"De modo que a estrutura da cidade não [LACUNA] muito, só que eram jacarés que dominavam a cidade no lugar de seres humanos",aguentou,mudou,verbo,classe_correta
"De modo que a estrutura da cidade não mudou muito, só que [LACUNA] jacarés que dominavam a cidade no lugar de seres humanos",os,eram,artigo definido,incorreta
"De modo que a estrutura da cidade não mudou muito, só que eram jacarés que [LACUNA] a cidade no lugar de seres humanos",foi,dominavam,verbo,classe_correta
Alguns humanos [LACUNA],não,sobreviveram,advérbio,incorreta
Os jacarés que [LACUNA] os cientistas especializados em genética começaram a fazer experiências com suas cobaias humanas,e,devoraram,conjunção aditiva,incorreta
Os jacarés que devoraram os cientistas especializados em genética [LACUNA] a fazer experiências com suas cobaias humanas,com,começaram,prepoisição,incorreta
Os jacarés que devoraram os cientistas especializados em genética começaram a [LACUNA] experiências com suas cobaias humanas,es,fazer,-,incorreta
"Eles [LACUNA] nos laboratórios homenzinhos com vinte centímetros de altura, e os venderam como brinquedos para os filhotes de jacarés",e,reproduziram,verbo,classe_correta
"Eles reproduziram nos laboratórios homenzinhos com vinte centímetros de altura, e os [LACUNA] como brinquedos para os filhotes de jacarés",via,venderam,verbo,incorreta
Mas os minúsculos seres não [LACUNA] a ferocidade de seus ancestrais e começaram a agredir seus donos com lanças improvisadas,queria,perderam,verbo,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,foi,começaram,verbo,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,com,agredir,preposição,incorreta
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",a,tiveram,artigo definido,classe_correta
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",os,machucassem,artigo definido,incorreta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",não,pegaram,advérbio,incorreta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",não,despejaram,advérbio de negação,incorreta
E [LACUNA] a descarga,e,puxaram,conjunção aditiva,incorreta
